,flussrate (mL/min),retentionszeit_mit_säule (min),retentionszeit_ohne_säule (min),peakbreite_mit_säule (min),peakbreite_ohne_säule (min),tR_column (min),Totvolumen_Saeule (mL),index
0,2.5,0.4539489187072847,0.0679852908801745,0.0226194943287689,0.0159570833991394,0.3859636278271102,0.9649090695677754,
1,2.4,0.4770263858107818,0.0695888649954191,0.025958785043224,0.0149697486626035,0.40743752081536266,0.9778500499568703,
2,2.3,0.4998291871684593,0.0731249736493578,0.0293219369852458,0.0160322305654664,0.4267042135191015,0.9814196910939333,
3,2.1999999999999997,0.5216868017576058,0.0765879095210748,0.0283066481985579,0.0170721476280093,0.44509889223653104,0.9792175629203682,
4,2.0999999999999996,0.5416088014829687,0.0790671438531289,0.029365591705047,0.017600720263388,0.46254165762983984,0.9713374810226635,
5,1.9999999999999996,0.569253508297489,0.0853308317315776,0.0298556023781563,0.0181203677012152,0.48392267656591137,0.9678453531318225,
6,1.8999999999999997,0.5977965632094747,0.0915044202009827,0.0327731950954161,0.020606350442362,0.506292143008492,0.9619550717161347,
7,1.7999999999999994,0.6323043510304891,0.0967315603016576,0.0351385143781989,0.0206145672612433,0.5355727907288315,0.9640310233118963,
8,1.6999999999999993,0.668337256233768,0.1037016452324655,0.0375716410961196,0.0245752868732295,0.5646356110013026,0.9598805387022139,
9,1.5999999999999992,0.7049620223413857,0.1085870158410821,0.0376944129983773,0.0256760363847632,0.5963750065003036,0.9542000104004853,
10,1.4999999999999991,0.7501601312139934,0.1203102273696856,0.0386836922411957,0.0289164964700519,0.6298499038443078,0.9447748557664611,
11,1.399999999999999,0.8064179030504295,0.1297529680944046,0.0420330221612031,0.0333473394189533,0.6766649349560249,0.9473309089384342,
12,1.299999999999999,0.8694643231468265,0.135434294777459,0.0472774660615286,0.0321081885313071,0.7340300283693675,0.954239036880177,
13,1.1999999999999988,0.9335142428599592,0.1465729296620831,0.0480270461344625,0.0355854606369445,0.7869413131978761,0.9443295758374504,
14,1.0999999999999988,1.023412893579651,0.156806811116601,0.0551887270477525,0.0366838542174036,0.8666060824630499,0.9532666907093539,
15,0.9999999999999988,1.119648731941916,0.1710604737859425,0.0566992881652603,0.0403494559322411,0.9485882581559735,0.9485882581559724,
16,0.8999999999999986,1.2457789610519532,0.18914636197848,0.0592592776448571,0.0448515242347171,1.056632599073473,0.9509693391661243,
17,0.7999999999999985,1.3952376766196204,0.2070548335312247,0.0649346458684635,0.0503401461004798,1.1881828430883956,0.9505462744707147,
18,0.6999999999999984,1.5952549717124682,0.2375848567477618,0.0773047253702987,0.05475072840412,1.3576701149647064,0.9503690804752922,
19,0.5999999999999983,1.8563665961530889,0.275920028534339,0.0891829333992694,0.0635011797478565,1.5804465676187498,0.9482679405712472,
20,0.4999999999999982,2.2174655038643576,0.3241707535823059,0.1013540714589428,0.0726227698133272,1.8932947502820516,0.9466473751410225,
21,0.3999999999999981,2.7700083495060897,0.3947248940719949,0.1190158493448647,0.0838317453624349,2.375283455434095,0.9501133821736334,
22,0.299999999999998,3.677322703954224,0.5163119741474884,0.1525488215189434,0.1045195901379016,3.1610107298067356,0.9483032189420143,
23,0.1999999999999979,5.508213395029048,0.7551859603256051,0.2209300246551818,0.1407462466217731,4.753027434703443,0.9506054869406787,
24,0.0999999999999978,11.001892926599664,1.4217666748388105,0.4201717834101728,0.2247684887208434,9.580126251760854,0.9580126251760643,
0,,,,,,,0.9571603960467522,Mittelwert
1,,,,,,,0.011116951611847347,Standardabweichung
